player,pos,team,bye_week,rank,predicted_fantasy_pts,fantasy_pts_2025,games_played_2025,espn_rank,espn_id,news_details
Bijan Robinson,RB,ATL,11,1,325.4,318.2,17,1,,"Workhorse role fully established, minimal committee usage."
Jahmyr Gibbs,RB,DET,8,2,312.8,320.5,16,5,,"Shares backfield but leads in high-value touches and receiving work."
Ashton Jeanty,RB,LV,4,3,298.6,285.1,17,10,,"Rookie year exceeded expectations; entrenched as lead back entering year 2."
Saquon Barkley,RB,PHI,9,4,295.3,310.7,16,8,,"Age-related regression watch, but offensive line remains elite."
De'Von Achane,RB,MIA,12,5,288.9,275.4,15,15,,"Explosive but has missed time with minor injuries in past two seasons."
Christian McCaffrey,RB,SF,9,6,282.1,290.3,14,12,,"Injury history is a real concern; monitor camp workload."
Jonathan Taylor,RB,IND,14,7,278.5,295.8,17,18,,"Coming off career year, contract situation resolved."
Derrick Henry,RB,BAL,14,8,270.2,288.6,17,22,,"Age 32, but showed no signs of slowing in prior season."
Kyren Williams,RB,LAR,8,9,265.7,258.3,17,25,,"Goal-line role secure, mild receiving-work upside."
Josh Jacobs,RB,GB,5,10,260.4,268.9,17,28,,"Featured back in run-heavy offense."
Breece Hall,RB,NYJ,9,11,255.8,240.1,16,30,,"New coaching staff expected to feature him more in passing game."
James Cook,RB,BUF,7,12,248.3,252.7,17,35,,"Extension signed, workload expected to stay stable."
Chase Brown,RB,CIN,10,13,242.6,238.4,17,45,,"Emerged as lead back, minimal competition on roster."
Bucky Irving,RB,TB,9,14,238.1,245.2,16,50,,"Efficient dual-threat back with expanding role."
Alvin Kamara,RB,NO,11,15,225.4,230.8,15,48,,"Aging veteran but remains involved in passing downs."
Kenneth Walker III,RB,SEA,8,16,220.7,215.3,15,55,,"Injury-prone but explosive when healthy."
Tony Pollard,RB,TEN,10,17,210.2,205.6,17,70,,"Lead back role but offense projects as pass-funnel negative game script."
Aaron Jones,RB,MIN,6,18,205.5,212.4,13,75,,"Timeshare back, touchdown-dependent scoring."
Isiah Pacheco,RB,KC,10,19,198.3,190.7,12,80,,"Returning from injury, camp health is the main question."
Rachaad White,RB,TB,9,20,190.6,195.4,17,90,,"Complementary back behind Irving, limited standalone value."
