player,pos,team,bye_week,rank,predicted_fantasy_pts,fantasy_pts_2025,games_played_2025,espn_rank,espn_id,news_details
Brock Bowers,TE,LV,4,1,245.8,268.4,17,21,,"Elite target volume for the position, locked in as focal point of passing game."
Trey McBride,TE,ARI,11,2,228.3,235.7,17,33,,"Established as top target earner in Arizona's offense."
Sam LaPorta,TE,DET,8,3,210.5,205.2,16,36,,"Target share dipped slightly with WR additions, still strong red zone role."
George Kittle,TE,SF,9,4,198.7,215.6,15,41,,"Age-related risk but remains highly involved when healthy."
Mark Andrews,TE,BAL,14,5,185.2,178.9,15,52,,"Touchdown-dependent scoring profile, target share modest."
T.J. Hockenson,TE,MIN,6,6,178.6,188.3,16,60,,"Fully healthy after prior ACL recovery."
Evan Engram,TE,DEN,12,7,165.4,170.2,16,75,,"Consistent target earner in new offense."
Kyle Pitts,TE,ATL,11,8,158.9,155.4,17,65,,"Long-awaited breakout still unrealized, boom/bust profile."
David Njoku,TE,CLE,9,9,152.3,160.8,15,80,,"Steady red zone role in offense-in-transition."
Dalton Kincaid,TE,BUF,7,10,148.7,142.5,15,85,,"Competing for targets in run-heavy offense."
Jake Ferguson,TE,DAL,10,11,140.2,148.6,17,95,,"Reliable underneath option, capped ceiling."
Dallas Goedert,TE,PHI,9,12,135.6,138.4,14,100,,"Committee role behind receivers, touchdown-dependent."
