player,pos,team,bye_week,rank,predicted_fantasy_pts,fantasy_pts_2025,games_played_2025,news_details
Ja'Marr Chase,WR,CIN,10,1,335.2,342.8,17,"Elite target share with healthy Joe Burrow, no concerns."
Justin Jefferson,WR,MIN,6,2,320.6,315.4,17,"Locked in as WR1 target hog regardless of QB play."
CeeDee Lamb,WR,DAL,10,3,308.4,298.7,15,"Fully healthy after shoulder injury late last season."
Malik Nabers,WR,NYG,14,4,300.1,305.9,15,"Elite target volume, offense around him remains a question."
Amon-Ra St. Brown,WR,DET,8,5,296.8,290.2,17,"PPR floor is elite due to short-target usage."
Nico Collins,WR,HOU,6,6,288.5,278.9,15,"Healthy entering camp after missing time to injury last year."
Puka Nacua,WR,LAR,8,7,282.3,275.6,15,"Injury history is the main risk, otherwise elite target earner."
Brian Thomas Jr.,WR,JAX,8,8,275.7,268.4,17,"Entering year 2 as clear WR1 in new-look offense."
A.J. Brown,WR,PHI,9,9,270.2,255.8,15,"Reported frustration with target share resolved via offseason talks."
Drake London,WR,ATL,11,10,265.4,260.1,17,"Red zone role expanded, consistent target hog."
Ladd McConkey,WR,LAC,8,11,258.9,252.3,17,"Slot role secure with expanded route tree."
Tyreek Hill,WR,MIA,12,12,250.3,220.5,13,"Coming off down year and ankle injury, upside/risk profile."
Marvin Harrison Jr.,WR,ARI,11,13,245.6,238.2,16,"Year 2 leap candidate with improved QB chemistry."
Davante Adams,WR,LAR,8,14,240.1,258.7,17,"Aging but remains highly efficient target earner."
DK Metcalf,WR,PIT,9,15,235.8,225.4,16,"New team fit still developing after trade."
Terry McLaurin,WR,WAS,12,16,230.2,240.6,17,"Consistent target share in ascending offense."
Garrett Wilson,WR,NYJ,9,17,225.7,232.1,17,"New coaching staff installing more WR-friendly scheme."
DJ Moore,WR,CHI,5,18,218.4,222.8,17,"Steady target earner with new coaching staff."
Jaxon Smith-Njigba,WR,SEA,8,19,215.1,228.3,17,"Breakout campaign last season, expected lead WR role."
Mike Evans,WR,TB,9,20,210.6,215.9,16,"Consistent touchdown producer, age-related decline risk."
