player,pos,team,bye_week,rank,predicted_fantasy_pts,fantasy_pts_2025,games_played_2025,news_details
Josh Allen,QB,BUF,7,1,398.5,412.3,17,"Locked in as elite rushing/passing dual threat. No offseason surgeries reported."
Lamar Jackson,QB,BAL,14,2,389.2,401.1,16,"Missed one game late season with knee soreness; fully cleared for offseason program."
Jayden Daniels,QB,WAS,12,3,372.0,378.4,17,"Entering year 2, expanded route tree for weapons around him."
Patrick Mahomes,QB,KC,10,4,365.8,358.9,17,"New OC hire expected to open up downfield passing game."
Joe Burrow,QB,CIN,10,5,358.1,349.2,17,"Fully healthy after prior wrist injury, no limitations."
Jalen Hurts,QB,PHI,9,6,352.4,360.7,16,"Tush push usage may decrease slightly per coaching staff comments."
C.J. Stroud,QB,HOU,6,7,340.6,331.5,17,"Improved offensive line via free agency additions."
Justin Herbert,QB,LAC,8,8,335.9,328.0,17,"New weapons added at WR this offseason."
Kyler Murray,QB,ARI,11,9,318.2,309.8,16,"Camp battle for starting job not expected; entrenched starter."
Bo Nix,QB,DEN,12,10,312.5,305.1,17,"Second-year leap candidate with weapons upgrade."
Brock Purdy,QB,SF,9,11,308.7,300.4,15,"Coming off shoulder injury, monitor camp reps."
Anthony Richardson,QB,IND,14,12,300.1,262.3,11,"High rushing ceiling but accuracy concerns persist."
Caleb Williams,QB,CHI,5,13,296.4,288.9,17,"New head coach installing more QB-friendly scheme."
Dak Prescott,QB,DAL,10,14,290.8,275.2,12,"Returning from hamstring injury, full participant in offseason work."
Trevor Lawrence,QB,JAX,8,15,278.3,265.0,15,"New coaching staff emphasizing quick-game passing."
